,Text,language,int_label
0,association de recherche et de sauvegarde de lhistoire de roissy-en-france arshrf roissy-en-france    mémoire dun siècle  voir dans la bibliographie,French,0
1,la chirurgie comprenant principalement lablation de la tumeur la néphrectomie élargie comprenant le plus souvent la surrénale et les ganglions situés à proximité,French,0
2,dès les années  les communes voisines darnouville goussainville et dans une moindre mesure louvres desservies par la ligne ferroviaire paris-lille connurent une expansion démographique spectaculaire avec la création de nombreux lotissements de banlieue roissy demeurée à lécart du chemin de fer et de lindustrialisation restait un village agricole et sappauvrit progressivement le nombre de commerces passa de quatre-vingt-quatre en  à seulement dix-huit en  le même phénomène se produisit dans de nombreux autres villages du pays de france non desservis par une voie ferrée,French,0
3,au er avril  les services asama sont actuellement effectués par des shinkansen série e et w de  à  ils étaient également effectués par des shinkansen série e,French,0
4,lalimentation industrielle convient parfaitement à la croissance du chiot et à ladulte lalimentation ménagère nécessite un supplément en vitamines et en calcium,French,0
5,in  johnson was awarded an american institute of architects gold medal in  he became the first recipient of the pritzker architecture prize the most prestigious international architectural award,English,1
6,attirant dans ses clubs les meilleurs joueurs des deux hémisphères monnayant des droits de diffusion tv avantageux populaire auprès du public qui garnit les stades le top  est aujourdhui considéré comme le championnat national de rugby le plus riche au monde,French,0
7,bussy-saint-georges has built its identity on a green model environment with parks and gardens they represent  hectares of integrated green spaces  kilometres  miles of soft connecting links  squares and parks in the city centre  pools and more than  trees today,English,1
8,en application du schéma départemental de coopération intercommunale elle fusionne le er janvier  avec la communauté de communes bourbre-tisserands la communauté de communes de la vallée de lhien et la communauté de communes les vallons du guiers pour créer la communauté de communes les vals du dauphiné,French,0
9,minnesotas state parks are spread across the state in such a way that there is a state park within  miles  km of every minnesotan the most recent park created is lake vermilion state park created in  currently the parks range in size from franz jevne state park with  acres  ha to saint croix state park with  acres  ha two parks include resources listed as national natural landmarks big bog state recreation area and itasca state park and six parks encompass national historic landmarks charles a lindbergh fort snelling mille lacs kathio st croix soudan underground mine and split rock lighthouse state parks  sites or districts across  minnesota state parks are on the national register of historic places nrhp including  parks with developments constructed by new deal-era job creation programs in the s,English,1
